Unknown Frame: size=28202, net_delay=81, decode_delay=2, encode_delay=83, total_delay=166, md5=369bf07cd77b374c42d8d0d7f10e764e
Unknown Frame: size=22781, net_delay=91, decode_delay=3, encode_delay=71, total_delay=165, md5=b45d666a023922de57a6ed09f5e13c25
Unknown Frame: size=25342, net_delay=96, decode_delay=3, encode_delay=66, total_delay=165, md5=60adbe1d70007367198dd6b50655ff84
Unknown Frame: size=8750, net_delay=104, decode_delay=2, encode_delay=58, total_delay=164, md5=87d342b3968f45bc6fde2967a9812512
Unknown Frame: size=9539, net_delay=115, decode_delay=2, encode_delay=48, total_delay=165, md5=0cf9373adcc8198b587c62c33d6074e8
Unknown Frame: size=11148, net_delay=106, decode_delay=3, encode_delay=55, total_delay=164, md5=7188c3a775b1ad3e1881c7073a1fbbdb
Unknown Frame: size=11656, net_delay=115, decode_delay=3, encode_delay=46, total_delay=164, md5=675170e3e466f237325663484f77e599
Unknown Frame: size=12330, net_delay=113, decode_delay=3, encode_delay=46, total_delay=162, md5=eb71c345762fb0c54023a8c29f33410b
Unknown Frame: size=14494, net_delay=111, decode_delay=3, encode_delay=48, total_delay=162, md5=0b145566f998f4478bbe0c58e2f5c09d
Unknown Frame: size=18894, net_delay=113, decode_delay=3, encode_delay=46, total_delay=162, md5=9087acd7727572332db9038b1ac26d07
Unknown Frame: size=18441, net_delay=112, decode_delay=3, encode_delay=46, total_delay=161, md5=1effeab448405822d3717395a53da4a0
Unknown Frame: size=20787, net_delay=109, decode_delay=3, encode_delay=48, total_delay=160, md5=c1f264273f1aa3552df4b3a7455b2a6d
Unknown Frame: size=19813, net_delay=111, decode_delay=3, encode_delay=46, total_delay=160, md5=3ed4ced901ba5e2d6c2532c24c543252
Unknown Frame: size=19178, net_delay=105, decode_delay=3, encode_delay=51, total_delay=159, md5=81d79f282318aff7c0b10ee58a542f3b
Unknown Frame: size=18999, net_delay=92, decode_delay=3, encode_delay=63, total_delay=158, md5=5dacbe89fb1baaf0aaddd27afb2a4407
Unknown Frame: size=19767, net_delay=104, decode_delay=2, encode_delay=51, total_delay=157, md5=b66a190d63ada2098a50a743bb29f6a3
Unknown Frame: size=21477, net_delay=96, decode_delay=2, encode_delay=59, total_delay=157, md5=c6b3ec941e61b716ca50a2dc17bedf48
Unknown Frame: size=20472, net_delay=103, decode_delay=3, encode_delay=53, total_delay=159, md5=86acd469f6dab37f96c40bed09e028b8
Unknown Frame: size=21083, net_delay=109, decode_delay=3, encode_delay=47, total_delay=159, md5=11c8689a08e80b1df4bfe75ab7af7cf9
Unknown Frame: size=64997, net_delay=192, decode_delay=4, encode_delay=101, total_delay=297, md5=e974d310991dac58d4a622242eb5d159
Unknown Frame: size=29301, net_delay=210, decode_delay=3, encode_delay=67, total_delay=280, md5=bbd47ea645bd975bb144fff15a7c015a
Unknown Frame: size=26325, net_delay=99, decode_delay=3, encode_delay=62, total_delay=164, md5=42a7e5083c184a2d6ab66c9573323642
Unknown Frame: size=18325, net_delay=102, decode_delay=3, encode_delay=59, total_delay=164, md5=2128ce8e28456988c79b6b2420a667e4
Unknown Frame: size=20638, net_delay=107, decode_delay=3, encode_delay=56, total_delay=166, md5=299f810981db98dfbe28beb52e087722
Unknown Frame: size=20996, net_delay=105, decode_delay=3, encode_delay=58, total_delay=166, md5=7a48ad1c4bfd3b880256884a7b1f0251
Unknown Frame: size=18996, net_delay=109, decode_delay=2, encode_delay=57, total_delay=168, md5=0cb798b1e2e5f8b3e33f5a593b06bc45
Unknown Frame: size=15274, net_delay=111, decode_delay=2, encode_delay=55, total_delay=168, md5=2c36561c1a6855bead52518b13b3149a
Unknown Frame: size=17897, net_delay=113, decode_delay=3, encode_delay=53, total_delay=169, md5=092c254cfea59eca02500d029512fc52
Unknown Frame: size=45234, net_delay=134, decode_delay=3, encode_delay=83, total_delay=220, md5=a3c5736a7b6a01ca0fb87cb7dd65f0ed
Unknown Frame: size=14804, net_delay=127, decode_delay=2, encode_delay=43, total_delay=172, md5=0df3bc8121cd05f434499bf1761c6496
Unknown Frame: size=20724, net_delay=118, decode_delay=3, encode_delay=52, total_delay=173, md5=3ea554c3eed3f3c58bed94a48c6fc555
Unknown Frame: size=12384, net_delay=129, decode_delay=2, encode_delay=42, total_delay=173, md5=e8e2338022a5f62c7eff2fb07f3a1908
Unknown Frame: size=28657, net_delay=116, decode_delay=3, encode_delay=58, total_delay=177, md5=017e9c665757d0b9a5230e34c0ec9013
Unknown Frame: size=29281, net_delay=120, decode_delay=3, encode_delay=53, total_delay=176, md5=5cead715d9926bc265d3e4dbb0eee39b
Unknown Frame: size=18643, net_delay=129, decode_delay=2, encode_delay=47, total_delay=178, md5=b3b244e29cf29593909d51fc65939093
Unknown Frame: size=15010, net_delay=124, decode_delay=2, encode_delay=52, total_delay=178, md5=1ece2583852cb1aadb6be6cefeb70e39
Unknown Frame: size=9971, net_delay=129, decode_delay=2, encode_delay=44, total_delay=175, md5=26e5f41d8fba82258f27390738eb68df
Unknown Frame: size=16505, net_delay=120, decode_delay=3, encode_delay=54, total_delay=177, md5=268a493a7726ed2bf8e2b9666a33da6d
Unknown Frame: size=24667, net_delay=114, decode_delay=3, encode_delay=58, total_delay=175, md5=f27ead97b859bed140fe1f15e4631b44
Unknown Frame: size=20931, net_delay=119, decode_delay=3, encode_delay=47, total_delay=169, md5=94e830af85106c5c32a042d1dee64a70
Unknown Frame: size=23529, net_delay=83, decode_delay=3, encode_delay=85, total_delay=171, md5=2965c29c869b83690408ff8a276673cf
Unknown Frame: size=18535, net_delay=103, decode_delay=3, encode_delay=62, total_delay=168, md5=4b224b883b984ffb1126ebc1944196d0
