P Frame: size=27295,  delay=80, sendms=74109576, recvms=74109656, md5=29326e35136a26259c4d362f0289581b,
P Frame: size=26901,  delay=80, sendms=74109613, recvms=74109693, md5=42e0bc2bd1f70e452aea96f982d43698,
P Frame: size=27006,  delay=79, sendms=74109646, recvms=74109725, md5=d83ce9f3643c46162eda0670d185a376,
P Frame: size=25378,  delay=79, sendms=74109682, recvms=74109761, md5=b6d5a4f7012d09c517025f8d4bf240d8,
P Frame: size=24109,  delay=79, sendms=74109715, recvms=74109794, md5=a9376842d3ec62a3255ecff3ffa76ffe,
P Frame: size=26643,  delay=77, sendms=74109750, recvms=74109827, md5=d58bed9c2372587a1051d1887de5f0c4,
P Frame: size=27750,  delay=79, sendms=74109783, recvms=74109862, md5=f8c9721abfce08493079eb946c03af3d,
P Frame: size=27883,  delay=76, sendms=74109820, recvms=74109896, md5=1cc1aa193ed8de0ca7861b68e907e726,
P Frame: size=27335,  delay=77, sendms=74109852, recvms=74109929, md5=f1a3eaa77cf50b5511766709f6d94c55,
P Frame: size=26630,  delay=79, sendms=74109887, recvms=74109966, md5=b0f9e09c53ce39cb57622770e155bdfb,
P Frame: size=26677,  delay=80, sendms=74109919, recvms=74109999, md5=d0c3a0a320ac80072072294588242d31,
I Frame: size=116986,  delay=156, sendms=74109961, recvms=74110117, md5=62a06a26a9869c9dbe1548850d35bb69,
P Frame: size=15298,  delay=130, sendms=74109998, recvms=74110128, md5=26b2e0944a093ab4d8add63a2eedfe03,
P Frame: size=16158,  delay=114, sendms=74110034, recvms=74110148, md5=32a0c64ab229964f791637289b24d632,
P Frame: size=15897,  delay=110, sendms=74110055, recvms=74110165, md5=3991b97bf9647a6a053d7cfa553c9622,
P Frame: size=15749,  delay=93, sendms=74110090, recvms=74110183, md5=9619fb46133f27f3fe449b9b8192b847,
P Frame: size=15220,  delay=93, sendms=74110125, recvms=74110218, md5=0c77a16a43d253cba1cfe74fdd6fdf8e,
P Frame: size=15698,  delay=90, sendms=74110162, recvms=74110252, md5=216670c9e962c18294e1fbee7e464405,
P Frame: size=16447,  delay=91, sendms=74110197, recvms=74110288, md5=f753143eef39707a10e30f96ac8f2a6b,
P Frame: size=25345,  delay=92, sendms=74110231, recvms=74110323, md5=8244a5a5948430c5a74b3d5804b5a1a8,
P Frame: size=25052,  delay=92, sendms=74110264, recvms=74110356, md5=e4008bc010ddbf45296a43632ef726d9,
P Frame: size=25737,  delay=94, sendms=74110298, recvms=74110392, md5=24fa9eec768f75cd2c08dabe58f70e89,
P Frame: size=25126,  delay=93, sendms=74110333, recvms=74110426, md5=a474d594bab458289f4f81e9a366e8bc,
P Frame: size=25419,  delay=93, sendms=74110366, recvms=74110459, md5=ac8488eb5a43a7bc65c329c236d98940,
P Frame: size=25230,  delay=92, sendms=74110400, recvms=74110492, md5=d67d3c7f8b41171aed46ee2721f42aaf,
P Frame: size=24426,  delay=92, sendms=74110434, recvms=74110526, md5=6fe48e104db6728cd05397b03d49e081,
P Frame: size=23600,  delay=92, sendms=74110468, recvms=74110560, md5=f288520166c9700fdd451183c5df5a47,
